date,target_nakes,nakes_vaksin_1,nakes_vaksin_2,nakes_pct_1,nakes_pct_2,target_lansia,lansia_vaksin_1,lansia_vaksin_2,lansia_pct_1,lansia_pct_2,target_public,public_vaksin_1,public_vaksin_2,public_pct_1,public_pct_2,target_indo,indo_vaksin_1,indo_vaksin_2,indo_pct_1,indo_pct_2,
5 March 2021,1468764,1692016,1111938,1.152,0.757,21553118,179711,2,0.008,0.000,17327169,541888,2597,0.031,0.000,40349051,2413615,1114537,0.060,0.028,
6 March 2021,1468764,1741784,1126353,1.186,0.767,21553118,206025,2,0.010,0.000,17327169,604456,4169,0.035,0.000,40349051,2552265,1130524,0.063,0.028,
7 March 2021,1468764,2049651,1129340,1.395,0.769,21553118,215632,2,0.010,0.000,17327169,623474,4445,0.036,0.000,40349051,2888757,1133787,0.072,0.028,
8 March 2021,1468764,2114655,1149547,1.440,0.783,21553118,267603,5,0.012,0.000,17327169,715767,8880,0.041,0.001,40349051,3098025,1158432,0.077,0.029,
9 March 2021,1468764,1395498,1127633,0.950,0.768,21553118,430591,1612,0.020,0.000,17327169,1510937,68527,0.087,0.004,40349051,3337026,1197772,0.083,0.030,
10 March 2021,1468764,1395498,1127633,0.950,0.768,21553118,494125,2694,0.023,0.000,17327169,1682896,119495,0.097,0.007,40349051,3572519,1249822,0.089,0.031,
11 March 2021,1468764,1402959,1147846,0.955,0.782,21553118,525891,3080,0.024,0.000,17327169,1767209,144689,0.102,0.008,40349051,3696059,1295615,0.092,0.032,
12 March 2021,1468764,1402959,1147846,0.955,0.782,21553118,525891,3080,0.024,0.000,17327169,1767209,144689,0.102,0.008,40349051,3696059,1295615,0.092,0.032,
13 March 2021,1468764,1412736,1171385,0.962,0.798,21553118,625665,4497,0.029,0.000,17327169,1947195,278954,0.112,0.016,40349051,3985596,1454836,0.099,0.036,
14 March 2021,1468764,1413684,1172848,0.962,0.799,21553118,638492,4530,0.030,0.000,17327169,1967948,282844,0.114,0.016,40349051,4020124,1460222,0.100,0.036,
15 March 2021,1468764,1418620,1183715,0.966,0.806,21553118,701583,5151,0.033,0.000,17327169,2046659,383920,0.118,0.022,40349051,4166862,1572786,0.103,0.039,
16 March 2021,1468764,1425885,1196387,0.971,0.815,21553118,770545,5844,0.036,0.000,17327169,2272399,514516,0.131,0.030,40349051,4468829,1716747,0.111,0.043,
17 March 2021,1468764,1431713,1208113,0.975,0.823,21553118,836628,6600,0.039,0.000,17327169,2436907,661427,0.141,0.038,40349051,4705248,1876140,0.117,0.046,
18 March 2021,1468764,1437642,1221179,0.979,0.831,21553118,905102,7106,0.042,0.000,17327169,2616319,840115,0.151,0.048,40349051,4959063,2068400,0.123,0.051,
19 March 2021,1468764,1442440,1231104,0.982,0.838,21553118,954828,7590,0.044,0.000,17327169,2727680,982506,0.157,0.057,40349051,5124948,2221200,0.127,0.055,
20 March 2021,1468764,1442440,1231104,0.982,0.838,21553118,954828,7590,0.044,0.000,17327169,2727680,982506,0.157,0.057,40349051,5124948,2221200,0.127,0.055,
21 March 2021,1468764,1446141,1236791,0.985,0.842,21553118,1011483,8534,0.047,0.000,17327169,3109656,1067271,0.179,0.062,40349051,5567280,2312596,0.138,0.057,
22 March 2021,1468764,1449757,1245055,0.987,0.848,21553118,1011483,8534,0.047,0.000,17327169,3221959,1237961,0.186,0.071,40349051,5683199,2491550,0.141,0.062,
23 March 2021,1468764,1453841,1254761,0.990,0.854,21553118,1125037,22286,0.052,0.001,17327169,3399373,1432498,0.196,0.083,40349051,5978251,2709545,0.148,0.067,
24 March 2021,1468764,1458033,1263152,0.993,0.860,21553118,1225564,38904,0.057,0.002,17327169,3706240,1638960,0.214,0.095,40349051,6389837,2941016,0.158,0.073,
25 March 2021,1468764,1461489,1266029,0.995,0.862,21553118,1301782,57227,0.060,0.003,17327169,3967185,1691934,0.229,0.098,40349051,6730456,3015190,0.167,0.075,
26 March 2021,1468764,1464650,1270999,0.997,0.865,21553118,1356432,78322,0.063,0.004,17327169,4169000,1803291,0.241,0.104,40349051,6990082,3152612,0.173,0.078,
27 March 2021,1468764,1429532,1272381,0.973,0.866,21553118,1394731,93529,0.065,0.004,17327169,4312074,1857872,0.249,0.107,40349051,7136337,3223782,0.177,0.080,
28 March 2021,1468764,1430428,1273417,0.974,0.867,21553118,1414656,101709,0.066,0.005,17327169,4405955,1871683,0.254,0.108,40349051,7251039,3246809,0.180,0.080,
29 March 2021,1468764,1432153,1275981,0.975,0.869,21553118,1453977,118546,0.067,0.006,17327169,4549721,1936112,0.263,0.112,40349051,7435851,3330639,0.184,0.083,
30 March 2021,1468764,1435351,1282214,0.977,0.873,21553118,1546269,159823,0.072,0.007,17327169,4858404,2119155,0.280,0.122,40349051,7840024,3561192,0.194,0.088,
31 March 2021,1468764,1438016,1286168,0.979,0.876,21553118,1616340,183141,0.075,0.008,17327169,5061358,2247772,0.292,0.130,40349051,8115714,3717081,0.201,0.092,
1 April 2021,1468764,1440648,1289711,0.981,0.878,21553118,1672730,213333,0.078,0.010,17327169,5258199,2351407,0.303,0.136,40349051,8371577,3854451,0.207,0.096,
2 April 2021,1468764,1441069,1290437,0.981,0.879,21553118,1679615,217777,0.078,0.010,17327169,5304045,2359548,0.306,0.136,40349051,8424729,3867762,0.209,0.096,
3 April 2021,1468764,1441529,1292170,0.981,0.880,21553118,1706928,254973,0.079,0.012,17327169,5396453,2407200,0.311,0.139,40349051,8544910,3954343,0.212,0.098,
4 April 2021,1468764,1441914,1293500,0.982,0.881,21553118,1721077,261638,0.080,0.012,17327169,5466191,2459263,0.315,0.142,40349051,8629182,4014401,0.214,0.099,
5 April 2021,1468764,1443385,1297351,0.983,0.883,21553118,1771003,329227,0.082,0.015,17327169,5641985,2604222,0.326,0.150,40349051,8856373,4230800,0.219,0.105,
6 April 2021,1468764,1444800,1300745,0.984,0.886,21553118,1813087,400533,0.084,0.019,17327169,5763219,2730226,0.333,0.158,40349051,9021106,4431504,0.224,0.110,
7 April 2021,1468764,1445970,1302596,0.984,0.887,21553118,1844923,439807,0.086,0.020,17327169,5905406,2812292,0.341,0.162,40349051,9196299,4554695,0.228,0.113,
8 April 2021,1468764,1447505,1304661,0.986,0.888,21553118,1886623,461735,0.088,0.021,17327169,6039462,2931000,0.349,0.169,40349051,9373590,4697396,0.232,0.116,
9 April 2021,1468764,1451679,1309418,0.988,0.892,21553118,1970580,541811,0.091,0.025,17327169,6386485,3100990,0.369,0.179,40349051,9808744,4952219,0.243,0.123,
10 April 2021,1468764,1453325,1310929,0.989,0.893,21553118,2019832,588340,0.094,0.027,17327169,6529170,3179779,0.377,0.184,40349051,10002327,5079048,0.248,0.126,
11 April 2021,1468764,1453701,1311259,0.990,0.893,21553118,2030311,597464,0.094,0.028,17327169,6564802,3193198,0.379,0.184,40349051,10048814,5101921,0.249,0.126,
12 April 2021,1468764,1455949,1314396,0.991,0.895,21553118,2088158,672035,0.097,0.031,17327169,6735239,3336070,0.389,0.193,40349051,10279346,5322501,0.255,0.132,
13 April 2021,1468764,1457405,1316347,0.992,0.896,21553118,2108512,722410,0.098,0.034,17327169,6811090,3394098,0.393,0.196,40349051,10377007,5432855,0.257,0.135,
14 April 2021,1468764,1459169,1318528,0.993,0.898,21553118,2131067,781975,0.099,0.036,17327169,6890942,3472356,0.398,0.200,40349051,10481178,5572859,0.260,0.138,
15 April 2021,1468764,1460747,1321085,0.995,0.899,21553118,2155898,844895,0.100,0.039,17327169,6983097,3549833,0.403,0.205,40349051,10599742,5715813,0.263,0.142,
16 April 2021,1468764,1464225,1323006,0.997,0.901,21553118,2178289,898025,0.101,0.042,17327169,7066375,3600857,0.408,0.208,40349051,10708889,5821888,0.265,0.144,
17 April 2021,1468764,1465021,1323987,0.997,0.901,21553118,2199326,930003,0.102,0.043,17327169,7139477,3636800,0.412,0.210,40349051,10803824,5890790,0.268,0.146,
18 April 2021,1468764,1465210,1324382,0.998,0.902,21553118,2203494,936963,0.102,0.043,17327169,7159290,3649998,0.413,0.211,40349051,10827994,5911343,0.268,0.147,
19 April 2021,1468764,1466675,1325963,0.999,0.903,21553118,2237282,1002268,0.104,0.047,17327169,7267647,3724381,0.419,0.215,40349051,10971604,6052612,0.272,0.150,
20 April 2021,1468764,1467860,1327443,0.999,0.904,21553118,2264590,1040757,0.105,0.048,17327169,7383064,3790548,0.426,0.219,40349051,11115514,6158748,0.275,0.153,
21 April 2021,1468764,1480525,1338926,1.008,0.912,21553118,2298131,1111339,0.107,0.052,17327169,7522899,3891666,0.434,0.225,40349051,11301555,6341931,0.280,0.157,
22 April 2021,1468764,1481515,1340196,1.009,0.912,21553118,2328940,1170028,0.108,0.054,17327169,7621517,3977973,0.440,0.230,40349051,11431972,6488197,0.283,0.161,
23 April 2021,1468764,1483781,1342774,1.010,0.914,21553118,2357556,1225863,0.109,0.057,17327169,7745803,4108511,0.447,0.237,40349051,11587140,6677148,0.287,0.165,
24 April 2021,1468764,1484971,1344232,1.011,0.915,21553118,2384567,1263040,0.111,0.059,17327169,7848268,4190969,0.453,0.242,40349051,11717806,6798241,0.290,0.168,
25 April 2021,1468764,1485102,1344441,1.011,0.915,21553118,2386671,1269557,0.111,0.059,17327169,7869046,4215417,0.454,0.243,40349051,11740819,6829415,0.291,0.169,
26 April 2021,1468764,1486574,1346352,1.012,0.917,21553118,2417375,1332721,0.112,0.062,17327169,7967909,4344278,0.460,0.251,40349051,11871858,7023351,0.294,0.174,
27 April 2021,1468764,1488135,1348327,1.013,0.918,21553118,2450582,1390926,0.114,0.065,17327169,8076455,4475281,0.466,0.258,40349051,12015172,7214534,0.298,0.179,
